date,season,seasonchron,sample,id,time,coor,consistency,w,frozen,dry,sex,tvnt,treatment,worm,pw,form,species,c1,c2,c3,c4,c5,mc,mcmaster sediment (g),epg,rich,proc,examiner,effort
2012-09-20,1.fall,fall-2012,kmp2012-0002,gibosi,10:10:00,NA,NA,2.9,yes,NA,f,treated,before,NA,0.937,30,oes,7,11,5,8,9,8,0.004685,1707.577375,2,NA,NA,195
2012-09-20,1.fall,fall-2012,kmp2012-0002,gibosi,10:10:00,NA,NA,2.9,yes,NA,f,treated,before,NA,0.937,30,strep,0,0,0,0,0,0,0.004685,0,2,NA,NA,195
2012-09-20,1.fall,fall-2012,kmp2012-0002,gibosi,10:10:00,NA,NA,2.9,yes,NA,f,treated,before,NA,0.937,30,strong,0,0,0,0,0,0,0.004685,0,2,NA,NA,195
2012-09-20,1.fall,fall-2012,kmp2012-0002,gibosi,10:10:00,NA,NA,2.9,yes,NA,f,treated,before,NA,0.937,30,trich,1,0,0,0,0,0.2,0.004685,42.68943436,2,NA,NA,195
2012-09-20,1.fall,fall-2012,kmp2012-0004,side,10:30:00,NA,NA,4,yes,NA,f,control,before,NA,2.141,30,oes,6,4,7,7,6,6,0.010705,560.4857543,1,NA,NA,360
2012-09-20,1.fall,fall-2012,kmp2012-0004,side,10:30:00,NA,NA,4,yes,NA,f,control,before,NA,2.141,30,strep,0,0,0,0,0,0,0.010705,0,1,NA,NA,360
2012-09-20,1.fall,fall-2012,kmp2012-0004,side,10:30:00,NA,NA,4,yes,NA,f,control,before,NA,2.141,30,strong,0,0,0,0,0,0,0.010705,0,1,NA,NA,360
2012-09-20,1.fall,fall-2012,kmp2012-0004,side,10:30:00,NA,NA,4,yes,NA,f,control,before,NA,2.141,30,trich,0,0,0,0,0,0,0.010705,0,1,NA,NA,360
2012-09-21,1.fall,fall-2012,kmp2012-0006,yasi,10:17:00,NA,NA,3.2,yes,NA,f,control,before,NA,1.246,30,oes,2,1,3,2,1,1.8,0.00623,288.9245586,2,NA,NA,360
2012-09-21,1.fall,fall-2012,kmp2012-0006,yasi,10:17:00,NA,NA,3.2,yes,NA,f,control,before,NA,1.246,30,strep,0,0,0,0,0,0,0.00623,0,2,NA,NA,360
